Title	Date	Status	Group	Meeting Link
RPP OS Stewards Weekly Meeting 8 (24/9/24)	Sep 24, 2024	Ended	Reimagining Power	
Meeting with OTF about project continuation	Nov 22, 2024	Ended	Reimagining Power	
Community Experience Meeting (25/9/24)	Sep 25, 2024	Ended	All In For Sport,Reimagining Power	
RPP Weekly Core Team Meeting (26/9/24)	Sep 26, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP Stakeholder Meeting		Scheduled	Reimagining Power	
11th Stakeholder Meeting for Reimagining Power (October 2024)	Oct 7, 2024	Ended	Reimagining Power	
RPP OS Stewards Meeting		Scheduled	Reimagining Power	
RPP OS Stewards Weekly Meeting 9 (1/10/24)	Oct 1, 2024	Ended	Reimagining Power	
Community Experience Meeting (30/09/24)	Sep 30, 2024	Ended	Reimagining Power,All In For Sport	
RPP Weekly Core Team Meeting (03/10/24)	Oct 3, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Community Experience Weekly Sync (2/10/24)	Oct 2, 2024	Ended	All In For Sport,Reimagining Power	https://discord.com/events/874697948838101092/1291266725719052331
Community Experience Weekly Sync		Scheduled	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
RPP OS Stewards Weekly Meeting 10 (8/10/24)	Oct 8, 2024	Ended	Reimagining Power	
Community Experience Weekly Sync (9/10/24)	Oct 9, 2024	Ended	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
RPP Weekly Core Team Meeting (10/10/24)	Oct 10, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP OS Stewards Weekly Meeting 11 (15/10/24)	Oct 15, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (17/10/24)	Oct 17, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
AIFS Gathering		Scheduled	Reimagining Power,SuperBenefit,All In For Sport	
AIFS Gathering #0	Nov 13, 2024	Ended	Reimagining Power,SuperBenefit,All In For Sport	
AIFS Gathering #1	Dec 11, 2024	Ended	Reimagining Power,SuperBenefit,All In For Sport	
AIFS Gathering #2	Jan 8	Ended	Reimagining Power,SuperBenefit,All In For Sport	
AIFS Gathering #3	Jan 22	Ended	Reimagining Power,SuperBenefit,All In For Sport	
AIFS Gathering #4	Feb 5	Ended	Reimagining Power,SuperBenefit,All In For Sport	
Call with Love Futbol	Oct 15, 2024	Ended	All In For Sport,Reimagining Power	
Community Experience Weekly Sync (16/10/24)	Oct 16, 2024	Ended	Reimagining Power,All In For Sport	https://discord.com/events/874697948838101092/1291266725719052331
AIFS Gathering #5	Feb 19	Ended	Reimagining Power,SuperBenefit,All In For Sport	
RPP OS Stewards Weekly Meeting 12 (22/10/24)	Oct 22, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (24/10/24)	Oct 24, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
